monotonic_ns,controller_ts,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5
24266686429235,177010.010000,1.644352,-3.540312,0.330386,-3.639548,-1.593627,3.870523,0.000000,0.000000,-0.000000,0.000000,0.000091,0.931148
24266688452361,177010.012000,1.644340,-3.540300,0.330375,-3.639548,-1.593687,3.872326,0.000000,0.000000,-0.000000,0.000000,0.000089,0.928337
24266690438618,177010.014000,1.644316,-3.540276,0.330423,-3.639560,-1.593639,3.874148,0.000000,0.000000,-0.000000,0.000000,0.000088,0.927826
24266692462691,177010.016000,1.644328,-3.540276,0.330423,-3.639572,-1.593663,3.876021,0.000000,0.000000,-0.000000,0.000000,0.000086,0.929170
24266694552090,177010.018000,1.644352,-3.540252,0.330411,-3.639548,-1.593651,3.877855,0.000000,0.000000,-0.000000,0.000000,0.000085,0.928219
24266696477960,177010.020000,1.644328,-3.540312,0.330386,-3.639572,-1.593651,3.879676,0.000000,0.000000,-0.000000,0.000000,0.000084,0.926554
24266698513644,177010.022000,1.644328,-3.540264,0.330399,-3.639572,-1.593639,3.881534,0.000000,0.000000,-0.000000,0.000000,0.000083,0.925582
24266700459618,177010.024000,1.644316,-3.540288,0.330386,-3.639536,-1.593663,3.883368,0.000000,0.000000,-0.000000,0.000000,0.000081,0.923241
24266702427474,177010.026000,1.644328,-3.540288,0.330411,-3.639536,-1.593639,3.885212,0.000000,0.000000,-0.000000,0.000000,0.000080,0.921392
24266704600137,177010.028000,1.644316,-3.540276,0.330399,-3.639548,-1.593639,3.887021,0.000000,0.000000,-0.000000,0.000000,0.000085,0.920441
24266706440301,177010.030000,1.644340,-3.540264,0.330399,-3.639536,-1.593627,3.888914,0.000000,0.000000,-0.000000,0.000000,0.000090,0.919412
24266708496283,177010.032000,1.644340,-3.540288,0.330399,-3.639572,-1.593675,3.890807,0.000000,0.000000,-0.000000,0.000000,0.000089,0.919270
24266710462628,177010.034000,1.644316,-3.540288,0.330411,-3.639584,-1.593675,3.892676,0.000000,0.000000,-0.000000,0.000000,0.000088,0.916861
24266712501994,177010.036000,1.644328,-3.540276,0.330423,-3.639536,-1.593663,3.894536,0.000000,0.000000,-0.000000,0.000000,0.000087,0.916688
24266714492860,177010.038000,1.644352,-3.540276,0.330399,-3.639560,-1.593675,3.896367,0.000000,0.000000,-0.000000,0.000000,0.000086,0.913142
24266716537940,177010.040000,1.644352,-3.540300,0.330423,-3.639560,-1.593651,3.898187,0.000000,0.000000,-0.000000,0.000000,0.000085,0.905412
