monotonic_ns,frame_time_ns,vector_x,vector_y
790551448632466,790551449930844,-0.50103627,0.86542629
790551481873622,790551483286364,-0.52999894,0.84799830
790551514809734,790551516642140,-0.57287069,0.81964576
790551547728533,790551549997916,-0.60209218,0.79842658
790551581680003,790551583353692,-0.63102842,0.77575971
790551614612512,790551616708956,-0.65474723,0.75584791
790551648623651,790551650064732,-0.67117559,0.74129841
790551681597555,790551683420252,-0.70710678,0.70710678
790551714546081,790551716776028,-0.72198821,0.69190536
790551748542692,790551750131548,-0.74187368,0.67053967
790551781423660,790551783487068,-0.76644866,0.64230557
790551815363757,790551816842588,-0.77698066,0.62952447
790551848315448,790551850198364,-0.79868518,0.60174911
790551881317917,790551883553884,-0.80895331,0.58787290
790551915374933,790551916910428,-0.82783710,0.56096856
790551948380526,790551950266972,-0.83761060,0.54626778
790551981532125,790551983623516,-0.85601804,0.51694596
790552015613167,790552016980060,-0.86725310,0.49786752
790552048603190,790552050336860,-0.87360359,0.48663824
790552081669692,790552083693404,-0.86593692,0.50015322
790552115728982,790552117049948,-0.86753043,0.49738411
790552148723272,790552150406492,-0.87294348,0.48782136
790552181721175,790552183763036,-0.86591684,0.50018799
790552215730920,790552217119836,-0.86591684,0.50018799
790552248761395,790552250476124,-0.86493849,0.50187789
790552281787282,790552283832924,-0.85795987,0.51371671
790552315788127,790552317189212,-0.85596851,0.51702796
790552348803109,790552350546012,-0.84858634,0.52905692
790552381784293,790552383902556,-0.84770600,0.53046633
790552415872335,790552417259100,-0.83998984,0.54260213
790552448779605,790552450615644,-0.83761060,0.54626778
790552482729981,790552483972188,-0.82775223,0.56109379
790552515601527,790552517328732,-0.82018220,0.57210240
790552549560241,790552550685276,-0.80895331,0.58787290
790552582437252,790552584041820,-0.80823650,0.58885802
790552615371177,790552617398620,-0.79823358,0.60234804
790552649321437,790552650754908,-0.78831578,0.61527086
790552682193652,790552684111708,-0.77567170,0.63113660
790552716190239,790552717467996,-0.76530534,0.64366741
790552749069146,790552750824796,-0.75377273,0.65713520
790552783017611,790552784181340,-0.74354223,0.66868898
790552815959220,790552817537628,-0.73121844,0.68214338
790552849034453,790552850894428,-0.70710678,0.70710678
790552883144272,790552884250716,-0.69510413,0.71890907
790552916083569,790552917606748,-0.68394113,0.72953720
790552948978455,790552950962524,-0.65661797,0.75422334
790552983021985,790552984318556,-0.64479299,0.76435725
790553015948349,790553017674076,-0.62783650,0.77834525
790553049077060,790553051029852,-0.60000000,0.80000000
790553083133719,790553084385884,-0.57225208,0.82007778
790553116019825,790553117741660,-0.55906593,0.82912320
790553149981199,790553151097180,-0.52801990,0.84923200
790553182899227,790553184452956,-0.49855551,0.86685778
