monotonic_ns,encoder_value
24253119125002,0.000000
24253130384227,0.000000
24253136599725,0.000000
24253142790820,0.000000
24253154067135,0.000000
24253160266482,0.000000
24253166454864,0.000000
24253177779939,0.000000
24253184051874,0.000000
24253190274978,0.000000
24253201557303,0.000000
24253207751664,0.000000
24253219037437,0.000000
24253225316688,0.000000
24253231511523,0.000000
24253242790326,0.000000
24253248973220,0.000000
24253255107832,0.000000
24253266322048,0.000000
24253272484187,0.000000
24253283687806,0.000000
24253289882363,0.000000
24253296035865,0.000000
24253307287406,0.000000
24253313430797,0.000000
24253319590340,0.000000
24253330800318,0.000000
24253336969673,0.000000
24253348144778,0.000000
24253354409164,0.000000
24253360664377,0.000000
24253371964931,0.000000
24253378147033,0.000000
24253384324534,0.000000
24253395608277,0.000000
24253401808583,0.000000
24253408017741,0.000000
24253419304865,0.000000
24253425497311,0.000000
24253431648012,0.000000
24253442905990,0.000000
24253449069456,0.000000
24253460350396,0.000000
24253466563835,0.000000
24253472748807,0.000000
24253484023790,0.000000
24253490254706,0.000000
24253496436964,0.000000
24253507752955,0.000000
24253513938048,0.000000
24253525286385,0.000000
24253531548043,0.000000
24253537816271,0.000000
24253549211132,0.000000
24253555487641,0.000000
24253561705998,0.000000
24253572976715,0.000000
24253579208434,0.000000
24253585388791,0.000000
24253596867349,0.000000
24253603077344,0.000000
24253614350212,0.000000
24253620584835,0.000000
24253626789256,0.000000
24253638077126,0.000000
24253644335341,0.000000
24253650537312,0.000000
24253661809838,0.000000
24253668019544,0.000000
24253674255579,0.000000
24253685548293,0.000000
24253691753381,0.000000
24253697955928,0.000000
24253709310717,0.000000
24253715522983,0.000000
24253726787890,0.000000
24253733023296,0.000000
24253739230495,0.000000
24253750552975,0.000000
24253756771439,0.000000
24253763021227,0.000000
24253774457737,0.000000
24253780757856,0.000000
24253786960656,0.000000
24253798267107,0.000000
24253804494784,0.000000
24253815826191,0.000000
24253822074575,0.000000
24253828473469,0.000000
24253839793667,0.000000
24253846017253,0.000000
24253852204765,0.000000
24253863630391,0.000000
24253869940453,0.000000
24253876129653,0.000000
24253887398938,0.000000
24253893632268,0.000000
24253904908816,0.000000
24253911138262,0.000000
24253917329021,0.000000
24253928593370,0.000000
24253934780146,0.000000
24253941118152,0.000000
24253952613112,0.000000
24253958805634,0.000000
24253965040954,0.000000
24253976352197,0.000000
24253982532086,0.000000
24253993763301,0.000000
24253999961022,0.000000
24254006122269,0.000000
24254017393202,0.000000
24254023634773,0.000000
24254029818930,0.000000
24254041106335,0.000000
24254047263793,0.000000
24254053408113,0.000000
24254064638702,0.000000
24254070778377,0.000000
24254082039818,0.000000
24254088187977,0.000000
24254094348449,0.000000
24254105638889,0.000000
24254111875723,0.000000
24254118066076,0.000000
24254129313755,0.000000
24254135563030,0.000000
24254141816145,0.000000
24254153305391,0.000000
24254159631723,0.000000
24254170951329,0.000000
24254177154586,0.000000
24254183394825,0.000000
24254194713209,0.000000
24254200962089,0.000000
24254207146140,0.000000
24254218437776,0.000000
24254224740189,0.000000
24254231086195,0.000000
24254242337610,0.000000
24254248546587,0.000000
24254254726140,0.000000
24254266028910,0.000000
24254272252309,0.000000
24254278447812,0.000000
